GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_hispanic,percent_other_races,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_aff_1,rent_aff_2,rent_aff_3,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
06075012901,Census Tract 129.01,3.750964211,0,3.679186793,86.3,2.6,14.6,0,84.2,0,9.6,0.9,11.72848836,7.493317249,7.493317249,226,60,20.2739726,11.59817352,27.03497,13.40996169,17.41293532
06075012902,Census Tract 129.02,3.81197051,0,3.687028783,80.7,2.1,18.2,9.2,77.8,2.4,14.6,0,11.55031758,7.455876687,7.455876687,126,55,27.31421121,15.12385919,27.03497,25,37.16814159
06041129000,Census Tract 1290,5.369644137,0,5.009317415,27.3,10.3,27.7,34.2,34.2,29.2,11.2,0.5,10.53521135,7.178545484,7.178545484,66,14,68.40855107,43.34916865,8.705343,10.81081081,13.33333333
06075013000,Census Tract 130,3.67502561,0,3.524137735,82.4,5.6,12.3,6.5,82.6,0,11.6,0.6,11.89047795,7.630461262,7.630461262,122,88,22.39199157,10.5374078,27.03497,36.78756477,67.61904762
06041130201,Census Tract 1302.01,5.095355535,0,5.048367107,68.7,3,10.4,1.1,94,0.6,2.8,1.9,11.78882085,7.668561108,7.668561108,296,29,44.08945687,19.59531416,8.705343,3.267973856,3.610108303
06041130202,Census Tract 1302.02,5.20882176,0,5.169181028,75,5.3,14.3,4.9,87.1,3.7,3.7,0,11.63712344,7.555905094,7.555905094,329,0,49.11003236,22.97734628,8.705343,13.19261214,13.19261214
06075013101,Census Tract 131.01,3.377022356,0,3.25564096,87.7,3,20.1,3.8,76.1,3,13.8,0,11.72838356,7.687080156,7.687080156,135,0,35.25037184,12.59295984,27.03497,18.6746988,18.6746988
06075013102,Census Tract 131.02,3.421561822,0,3.226172366,79.6,1.1,17.9,0,80.5,0.7,14.6,0.4,11.53598748,7.638679824,7.638679824,90,60,36.39097744,23.53383459,27.03497,26.2295082,51.61290323
06041131100,Census Tract 1311,5.930938186,0,3.730477214,62,0.5,7.7,0.8,94.9,0,2.4,0,11.70818793,7.487733761,7.487733761,70,0,24.32432432,4.054054054,8.705343,14.63414634,14.63414634
06075013200,Census Tract 132,3.830113871,0,3.605211825,87.1,3,15.4,2.8,75.2,0.5,19.9,0,11.84703062,7.754481547,7.754481547,224,65,27.13864307,8.628318584,27.03497,15.15151515,20.10050251
06041132100,Census Tract 1321,6.181883747,0,5.100297631,66.2,4.2,13.2,9.1,91.8,0.3,1.9,0,11.33902436,7.524021415,7.524021415,968,78,65.63573883,39.86254296,8.705343,4.253214639,4.608788853
06041132200,Census Tract 1322,6.732814356,0,6.200122357,47.7,1.9,11.9,11.4,83.4,1.2,0.8,1,10.86139996,7.070724107,7.070724107,490,27,59.31818182,30.90909091,8.705343,6.488549618,6.841046278
06075013300,Census Tract 133,4.15141202,0,3.944536139,77.1,3.9,17.3,2.5,74.7,2.5,14.6,0.3,11.80672876,7.594381243,7.594381243,167,32,37.75100402,14.0562249,27.03497,9.72972973,11.76470588
06041133000,Census Tract 1330,6.689744947,0,6.243362812,39,2.2,16.2,7.9,85.3,0.3,2.1,0,10.8071995,7.094234846,7.094234846,671,35,51.67173252,29.02735562,8.705343,6.545961003,6.881405564
