GEOID,Census_Tract,year,rent_aff_1,rent_aff_2,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_asian,percent_other_races,log_MHI,rental_units,vacant_rental
6013314102,Census Tract 3141.02,2013,18.7214612,53.1963470,7.202661197,11.86569278,0,0,10.3,12.3,34.9,20.2,45.56,12.14,12.36,29.94,10.816513,438,118
6013314103,Census Tract 3141.03,2013,27.4193548,34.3317972,6.967909202,12.1259466,0,0,15,13.4,36.6,27.5,34.19,20.99,13.20,31.63,10.709137,868,64
6013314104,Census Tract 3141.04,2013,28.2571912,40.9475465,6.927557906,11.74244862,0,0,12.3,17.5,29.4,34.3,53.77,12.72,5.66,27.86,10.522477,1182,250
6013314200,Census Tract 3142,2013,24.8417722,42.4050633,7.310550159,11.75194237,0,0,8.7,7.8,46.2,31.2,56.62,4.17,5.54,33.67,10.627940,632,106
6013315000,Census Tract 3150,2013,33.4482759,42.4137931,7.474772182,12.54682144,0,0,34.3,12,20.3,12.5,70.32,5.04,11.68,12.96,11.343797,290,69
6013316000,Census Tract 3160,2013,28.4057971,21.4492754,6.857514063,12.3796057,0,0,12,3.9,11.5,12,64.65,22.51,2.95,9.89,10.609946,345,88
6013317000,Census Tract 3170,2013,25.4208754,26.7676768,7.216709487,12.6098697,0,0,31,9.1,7.6,5.2,78.95,7.05,5.49,8.51,11.146099,594,47
6013318000,Census Tract 3180,2013,23.5460993,34.8936170,6.993015123,12.78661088,0,0,37.2,8.9,9.7,9.8,81.05,1.55,3.10,14.30,10.891317,705,161
6013319000,Census Tract 3190,2013,21.9592373,34.4510191,7.11395611,12.64819107,0,0,19,8.4,11.1,11.7,83.49,2.74,4.53,9.25,10.975585,1521,132
6013320001,Census Tract 3200.01,2013,22.8632479,29.0598291,7.367708572,12.64947559,0,0,17.4,11.9,18.1,19.8,74.04,3.87,6.66,15.43,11.017940,468,80
6013320003,Census Tract 3200.03,2013,40.6250000,0.0000000,7.649692624,12.9360338,0,0,40.5,7,14.1,4.4,73.39,3.09,11.85,11.67,11.584734,96,0
6013320004,Census Tract 3200.04,2013,14.0703518,29.8994975,7.463936604,12.89043132,0,0,34,6,12.2,6.6,82.94,2.05,9.28,5.74,11.459177,796,58
6013321101,Census Tract 3211.01,2013,23.2558140,25.1937984,7.448333861,12.907188,0,0,33.5,6.9,11.6,6,77.93,5.86,8.87,7.35,11.329459,774,59
6013321102,Census Tract 3211.02,2013,37.5335121,0.0000000,7.649692624,13.04936248,0,0,52.8,5,14,5.8,73.72,0.26,14.60,11.41,11.533600,373,28
6013321103,Census Tract 3211.03,2013,28.2548476,15.2354571,7.299121463,13.10501374,0,0,47.8,6.3,12.2,3,79.71,4.34,7.93,8.02,11.472728,361,105
6013321200,Census Tract 3212,2013,17.0790104,37.3503591,7.290974778,12.63035951,0,0,38.6,8,34.4,18.9,62.12,2.83,25.73,9.32,10.946851,1253,130
6013322000,Census Tract 3220,2013,20.4171240,29.6377607,7.387709239,13.17400661,0,0,49.9,6.4,21.3,8,79.31,2.95,9.82,7.91,11.404471,911,56
6013323000,Census Tract 3230,2013,31.2977099,21.1195929,7.484368643,13.03832938,0,0,51.7,10,12.3,5.6,78.80,0.63,8.17,12.41,11.421358,393,93
6013324001,Census Tract 3240.01,2013,22.5364182,27.4635818,7.224024808,12.8095686,0,0,59.4,1.3,37.2,12,62.62,1.85,22.41,13.12,11.095484,2334,159
6013324002,Census Tract 3240.02,2013,32.5988701,17.2881356,7.133295955,12.9052019,0,0,42.5,6.7,20.3,9.7,78.04,2.46,14.11,5.40,11.023633,1770,161
6013325000,Census Tract 3250,2013,14.4472362,37.1859296,7.156956365,13.23996862,0,0,46.8,3.5,11.4,5.2,89.35,0.56,5.35,4.74,11.264105,796,58
6075032601,Census Tract 326.01,2013,31.5985130,20.0743494,7.346655163,13.61961732,0,0,45.5,6.4,36.6,10.6,36.30,0.44,55.57,7.68,11.220231,1076,93
6075032602,Census Tract 326.02,2013,23.2476636,30.8411215,7.313220387,13.45754907,0,0,43.3,8.8,41.1,15.9,37.15,0.43,57.88,4.54,10.957695,856,230
6013326000,Census Tract 3260,2013,22.6063830,48.4042553,7.649692624,13.36625029,0,0,49.9,6.4,17,13,88.80,2.36,4.34,4.50,11.473706,376,42
