GEOID,Census_Tract,year,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,percent_airbnb_active_rentals,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_non_white,log_MHI
6075021800,Census Tract 218,2015,30.46272494,11.4395887,7.609862201,13.92230005,0,0,74.29609446,4.4,15.99903475,20.8,11.725178
6075022600,Census Tract 226,2015,16.28440367,8.7155963,7.973155433,13.81810718,0,0,81.10047847,4,18.36950768,33.3,12.083199
6075022702,Census Tract 227.02,2015,10.12269939,7.208589,7.703459048,13.48672867,0,0,75.91706539,1.4,20.36720751,25.36,12.008445
6075022704,Census Tract 227.04,2015,18.21705426,12.6614987,7.725771442,13.69830236,0,0,80.27916965,7.5,19.93846154,27.38,11.810998
6075022801,Census Tract 228.01,2015,21.72383465,20.4925242,7.500529485,13.6249552,0,0,52.57883158,6.6,31.39756283,43.75,11.600396
6075022802,Census Tract 228.02,2015,22.62156448,23.0443975,7.11395611,13.61779106,0,0,41.26344086,2.8,30.23354565,39.58,10.978388
6075022803,Census Tract 228.03,2015,15.12287335,13.3270321,7.36264527,13.56435326,0,0,46.80734448,8.8,38.70033113,40.07,11.472947
6075022901,Census Tract 229.01,2015,25.09191176,17.0955882,7.380879036,13.49323704,0,0,34.86735246,12.7,46.28763793,47.48,11.09909
6075022902,Census Tract 229.02,2015,12.47216036,23.830735,7.410347098,13.28141631,0,0,50.76242007,4.9,23.55712603,32.67,11.484948
6075022903,Census Tract 229.03,2015,20.45801527,19.5419847,7.395721609,13.14529835,0,0,42.48892469,5,33.17261331,50.85,11.322443
6075023001,Census Tract 230.01,2015,21.39423077,44.4711538,7.052721049,12.9666448,0,0,20.12083005,10.8,57.75590551,87.95,10.981046
6075023003,Census Tract 230.03,2015,10.03717472,34.2007435,7.428927195,12.76568843,0,0,28.76756066,9.5,39.45748803,80.78,11.309205
6075023102,Census Tract 231.02,2015,37.09834469,16.9425511,6.329720906,13.23426247,0,0,17.43222892,18.5,15.17034498,88.39,10.355645
6075023103,Census Tract 231.03,2015,26.10030706,16.9907881,6.12249281,13.12615618,0,0,14.03798514,17.7,8.932238193,91.14,9.884203
