GEOID,Census_Tract,rent_burdened,rent_overburdened,log_median_rent,log_median_house_price,percent_airbnb_all_rentals,Composite_Score,log_BART_dist,log_CBD_dist,coastal_tracts_dummy,percent_bachelors_degree,unemployment_rate,percent_foreign_born,percent_non_white,log_MHI,School_district_quality,job_acc_auto,job_acc_transit
6013337300,Census Tract 3373,2.791165108,1.247775437,7.420578905,13.42970101,0.740937844,0.405465108,4.1296613,6.0924,0,3.974058396,1.360976553,2.879198457,2.844909384,11.71602956,2.197224577,11.81021979,8.615560512
6013338101,Census Tract 3381.01,4.237000863,3.822761909,7.222566019,12.75419405,-0.31481074,-0.693147181,3.6854196,5.975253,0,3.08190997,2.302585093,0,3.875359021,10.91272203,0,11.91532291,7.876911668
6013338102,Census Tract 3381.02,3.594568775,2.590267163,7.695303135,13.16427278,0,0,3.4417504,5.9686209,0,3.975936331,2.251291799,0,3.139832618,11.55088577,0,11.89034838,7.941640584
6013338201,Census Tract 3382.01,3.912023005,3.258096538,7.475339237,13.43205153,1.864330162,0.693147181,3.7026592,5.9993956,0,3.996364154,1.791759469,2.850706502,3.08190997,11.52329155,1.098612289,11.91591377,8.747514124
6013338203,Census Tract 3382.03,3.605497845,2.695101224,7.486052618,13.11372618,0,0,1.6151447,5.8996538,0,4.291828367,2.028148247,0,3.394508394,11.44869623,0,12.15966205,9.608220789
6013338204,Census Tract 3382.04,3.696351469,2.543611477,7.630461262,13.09766076,-0.841567185,-0.693147181,3.0275039,5.92244,0,4.188138442,1.667706821,0,3.122364924,11.43776001,0,12.09715457,9.768565479
6013338301,Census Tract 3383.01,4.200204953,3.453715417,7.559559496,13.63805713,0,0,4.0931636,6.0328682,0,4.082609306,1.435084525,2.821378886,2.980618636,11.8119999,2.197224577,11.78094004,8.255581644
6013338302,Census Tract 3383.02,3.594568775,2.98311381,7.739359203,13.67486823,0,0,4.3175236,6.0433291,0,4.271095074,2.091864062,2.660259537,2.995732274,11.98241021,2.197224577,11.75765538,0
6013339001,Census Tract 3390.01,3.793239469,2.974615353,7.427738841,13.03898177,0,0,3.25235,5.8529379,0,4.151039906,1.686398954,0,3.310543013,11.19299564,2.197224577,12.04213513,9.111300947
6013339002,Census Tract 3390.02,3.90197267,3.230065795,7.429520843,12.91484708,0.25489225,0,2.000229,5.8411237,0,4.014579594,1.945910149,0,3.532225644,11.09557501,2.197224577,12.14550072,9.576709772
