GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_non_white,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_burdened,rent_overburdened,rent_hourly_wage,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
6013351101,Census Tract 3511.01,4.436161879,0,5.763876457,58.8,2.7,19.3,0,11,10.69478179,6.777646594,13.15502416,247,0,54.48275862,13.10344828,9.351841,0.403225806,0.403225806
6013351200,Census Tract 3512,3.95279155,0,5.604385124,75.3,3.2,12.7,0,15.7,12.08165389,7.389563954,13.50640054,15,0,39.49579832,28.57142857,27.03497,6.25,6.25
6075035201,Census Tract 352.01,4.63029245,0,4.97940993,42.9,4.3,38.9,7.7,60.8,11.26253918,7.358830898,13.91363496,44,28,56.36856369,34.55284553,27.03497,42.85714286,67.34693878
6075035202,Census Tract 352.02,4.669685758,0,4.924528802,43.4,2.3,37.8,7.9,54.4,11.15707875,7.712443834,13.77239427,105,33,45.68315172,24.22464376,9.351841,27.08333333,35.13513514
6013352101,Census Tract 3521.01,4.522180321,0,5.609145314,75.7,1.5,14.5,1.9,25.5,11.987475,7.436617265,13.73700833,25,14,82.75862069,29.88505747,9.351841,3.846153846,8.333333333
6013352201,Census Tract 3522.01,4.216850075,0,5.382727186,71.4,5.3,14.3,1.1,27.3,11.71667415,7.346655163,13.44705218,20,0,54.24,37.76,27.03497,9.090909091,9.090909091
6075035300,Census Tract 353,4.307896494,0,4.900353638,32.9,5.5,43.7,3.6,74.7,11.20733737,8.008698183,13.87895473,15,15,59.11330049,41.37931034,9.351841,61.53846154,100
6013353001,Census Tract 3530.01,3.59075829,0,5.010025061,79.3,5.2,13.9,1.1,22.7,11.99128781,7.265429723,13.52274894,36,0,10.25641026,0,27.03497,2.702702703,2.702702703
6075035400,Census Tract 354,4.436618252,0,5.000821433,41.4,7.1,42.1,6.6,67.2,11.29302664,7.597897951,13.94610013,101,20,40.40968343,23.27746741,9.351841,26.8115942,31.3559322
6013354001,Census Tract 3540.01,3.985720148,0,4.551412757,84.2,5.8,16.4,2.5,19.2,12.10763257,7.731930722,12.68354829,26,0,25,11.36363636,9.351841,3.703703704,3.703703704
