Percent airbnb,Composite Score
9.782608693,40.5
1.619433198,3.499999998
6.172839508,9.500000004
0.71942446,0.5
6.185567012,3.000000001
2.222222222,5.999999999
9.230769228,4.500000001
7.894736843,4.500000001
11.76470588,1
13.63636365,4.500000001
5.084745764,3.000000001
4.081632651,3.499999998
9.677419353,1.5
2.97029703,3.000000001
8.333333332,7.500000003
21.42857143,7.500000003
10.41666667,8.499999996
37.5,5.999999999
4.081632651,4
100,0.5
2.222222222,2.5
10.81081081,8.000000003
14.85148514,21.00000001
17.64705881,22.5
26.31578947,23
17.0212766,8.499999996
12.56544504,18
7.359307355,12.99999999
3.124999999,3.499999998
16.10738254,37.5
12.13235294,22.5
17.14285715,16.5
29.54545456,17
2.380952382,1.5
5.303030301,7
4.867256635,7
1.428571429,1
10.56910569,8.000000003
7,3.499999998
13.01369862,30.50000001
6.896551727,4
16.21621622,3.000000001
1.785714285,0.5
7.407407403,1
6.153846153,3.499999998
1,1
3.333333332,0.5
2.090592334,7.500000003
16.66666667,1
16.875,36.50000002
1.219512195,3.499999998
1.960784313,2.000000001
3.488372092,1.5
2.926829268,5.999999999
4.807692306,5.499999999
5.172413793,1.5
10.84337349,15
100,4.500000001
4.385964912,4
2.000000001,3.000000001
0.793650794,2.000000001
5.691056912,12.5
9.090909089,7
2.479338843,1.5
3.030303029,2.000000001
16.3265306,4
6.55737705,2.000000001
15.15151515,2.5
100,1
6.349206351,3.499999998
2.803738317,3.000000001
6.81818182,10.5
3.827751197,4
4.026845636,4.500000001
16.21621622,26
7.90960452,15.5
2.702702702,4.999999998
10.98901099,14.00000001
8.000000003,12
9.405940596,30.50000001
20.3125,12.5
3.260869566,4
4.705882355,4.999999998
14.17322835,28
2.551020408,5.499999999
2.127659574,1
3.614457832,2.5
10,4.500000001
8.57142857,3.000000001
3.076923078,2.000000001
2.684563758,2.000000001
3.174603174,1
2.666666667,2.000000001
10.76923077,3.499999998
7.14285714,1.5
1.805054151,2.5
1.754385965,0.5
0.819672131,0.5
1.111111111,1
1.351351352,0.5
1.111111111,0.5
0.591715976,0.5
2.580645161,2.000000001
